clip,frame,seconds,pipeline_kind,claimed_server,label,evidence_source,confidence,note
game 2,183,192.1,accepted,near,serve,source_video_sequence,high,"Toss, trophy, overhead contact, follow-through into court."
game 2,257,194.6,accepted,far,ambiguous,source_video_sequence,low,"Overhead action at far baseline BUT only 2.5s after the near serve at f183; near player is standing with racket down, not receiving. Plausibly the receiver knocking back a faulted serve."
game 2,408,199.6,suppressed,far,ambiguous,source_video_sequence,low,"Far player, contact near shoulder height, no clear toss. Too small in frame to resolve."
game 2,623,206.8,suppressed,near,serve,source_video_sequence,high,"Motion sequence matches accepted serve f819 almost exactly: trophy, extension, overhead contact, landing into court. MISCLASSIFIED as rally motion."
game 2,819,213.3,accepted,near,serve,source_video_sequence,high,"Textbook serve motion."
game 2,918,216.6,suppressed,near,non_serve,source_video_sequence,high,"Ball arrives from his left at shoulder height; deep court position (world y 82.8). Rally overhead, correctly suppressed."
game 2,1595,239.2,accepted,near,serve,source_video_sequence,high,"Toss visible above head, full extension, contact."
game 2,1795,245.8,suppressed,near,ambiguous,source_video_sequence,low,"Serve-like extension at 0, but at +12 the player is upright with a ball beside him at head height, which does not follow a struck serve. Possibly an aborted or caught toss."
game 2,1931,250.4,suppressed,near,non_serve,source_video_sequence,high,"Racket never goes overhead; low across-body swing. Correctly suppressed."
game 2,2116,256.5,accepted,far,serve,source_video_sequence,medium,"Far baseline, ball above head, overhead contact. Limited detail at far distance."
game 2,2517,269.9,suppressed,near,serve,source_video_sequence,high,"Full serve motion matching accepted serves. MISCLASSIFIED as rally motion. NOT flagged by the far-ball heuristic - a true miss of that test."
game 2,2629,273.6,accepted,far,ambiguous,source_video_sequence,low,"Same anomaly as f257: 3.7s after the near serve at f2517. Opposite-end serves cannot be 3.7s apart."
game 2,2990,285.7,accepted,near,serve,source_video_sequence,high,"Textbook serve motion."
game 2,3154,291.1,accepted,far,ambiguous,source_video_sequence,low,"Same anomaly: 5.5s after the near serve at f2990."
game 2,3506,302.9,suppressed,near,serve,source_video_sequence,high,"Full serve motion, ball at racket at contact. MISCLASSIFIED as rally motion."
game 2,3987,318.9,accepted,near,serve,source_video_sequence,high,"Textbook serve motion."
game 2,4183,325.4,suppressed,near,serve,source_video_sequence,high,"Textbook serve, near-identical to accepted f3987 6.5s earlier. MISCLASSIFIED as rally motion."
