idx,frame,seconds,side,world_x,world_y,shape_confidence,confidence,near_player,rally_scoring_eligible,serve_landing_precondition,provenance,dvy_ft,residual_px,join_error_frames,label,note
1,19,0.63,near,21.74,74.49,high,low,True,False,True,sampled,2.442,6.06,1.07,dead_bounce,pre-serve dribble at baseline
2,160,5.33,far,37.9,10.79,high,low,True,False,True,sampled,19.839,3.09,0.18,racket,P1 serve strike (racket at marker)
3,186,6.2,far,11.27,21.55,high,high,False,True,True,sampled,21.15,15.04,1.08,live_bounce,"P1 serve landing, far service box"
4,251,8.37,near,16.51,42.81,high,high,False,True,True,sampled,6.224,0.68,0.65,live_bounce,K's net-cord return landing just over net
5,278,9.27,near,19.39,48.39,high,high,False,True,True,sampled,4.435,0.62,0.71,live_bounce,rally bounce near court
6,300,10.0,near,21.03,51.96,high,high,False,True,True,sampled,3.391,0.66,0.72,live_bounce,P1 second bounce (the double bounce)
7,319,10.63,near,22.36,54.81,high,low,True,False,True,sampled,2.352,0.73,1.21,dead_bounce,ball still bouncing after point ended
8,345,11.5,near,21.6,41.54,medium,low,True,False,True,sampled,5.715,1.17,1.68,racket,player catches ball at hand height
9,444,14.8,near,17.72,66.55,high,low,True,False,True,sampled,8.805,3.07,0.89,racket,"ball carried in hand, no bounce"
10,510,17.0,near,17.12,77.49,high,low,True,False,True,sampled,2.719,2.99,0.11,dead_bounce,pre-serve dribble
11,534,17.8,near,17.12,77.46,high,low,True,False,True,sampled,2.682,2.94,0.2,dead_bounce,pre-serve dribble
12,558,18.6,near,17.06,77.12,high,low,True,False,True,sampled,2.811,3.68,0.34,dead_bounce,pre-serve dribble
13,580,19.33,near,15.69,76.86,medium,low,True,False,True,interpolated,1.775,2.74,3.05,tracking_artifact,no ball visible at marker in any frame
14,611,20.37,near,18.44,59.88,medium,low,True,False,True,sampled,6.345,4.43,2.44,racket,serve toss/contact region
15,652,21.73,far,21.2,38.2,medium,low,True,False,True,sampled,1.779,0.99,3.46,ambiguous,"P2 'serve landing' but ball is AT THE NET, not on ground"
16,787,26.23,far,21.05,1.71,high,low,True,False,True,sampled,19.328,1.34,0.53,racket,far player contact at baseline
17,967,32.23,near,23.7,66.14,high,low,True,False,True,sampled,5.121,7.6,0.39,racket,near player contact
